TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Include_in_cases	Exclude_from_cases	Include_in_controls	Exclude_from_controls	ICD10	ICD9	OPCS4	OPCS3	READ	CTV3	BNF	DMD	TS(Touchscreen)	TS_AGE_DIAG_COLNAME	SR	TS_RX	SR_RX	LAB	n_20001_	n_20002_	n_20003_	n_20004_	Minimum_Episode_duration	include_secondary
HfInCad								Composite	cardiovascular disease	..	Hf due to ischemia vs no Hf after ischemia	Hf	Cmp	Cad																					
Nicm								Composite	cardiovascular disease		non-ischemic cardiomyopathy	Dcm	Cad		Cmp,HxHrt	I501																			
HxHrt		08-11-2016						Family History 	heart disease		Family history: Heart disease													n_20110_=1 (Heart disease), n_20107_=1, n_20111=1										0	1
RxDmIns		08-11-2016			TH			Medication	endocrine		meds; Insulin									f1,f2,x006f							n_6177_=3 (insulin), n_6153_=3 (insulin)					1140882104,1140883066,1140910492,1141157482		0	1
RxAtr		08-11-2016			TH	ik heb dit nog nodig: QT-altering medication ; antidepressants (particularly tricyclic antidepressants) and all anticholinergic agents (for example, digoxin, atropine and acetylcholinesterase inhibitors) because of the strong effects that these drugs have on HRV. 		Medication	heart disease		meds; Atropine									a411,a42,bb2												1140850914		0	1
RxSta		08-11-2016			TH			Medication	cardiovascular disease		meds; Statins									bxd,bxe,bxg,bxi,bxj,bxk,x01R2,x01R3												1140861958,1140881748,1140910652,1140910654,1141188146,1141195196,1141200040,1140861970,1140864592,1141146138,1141146234,1141192410,1141192414,1140888594,1140888648,1140910632		0	1
DmT1		01-06-2017	0				ICD10 codes don't split out type 1 and 2	Trait	endocrine		Type 1 Diabetes					E10 (Insulin-dependent diabetes mellitus)	25001,25003,25011,25013,25021,25023,25031,25033,25041,25043,25051,25053,25061,25063,25071,25073,25081,25083,25091,25093							n_2443=1[2976] 	n_2976_						1222 (type 1 diabetes)			0	1
DmT2		01-06-2017	0				ICD10 codes don't split out type 1 and 2	Trait	endocrine		Type 2 Diabetes					E11 (Non-insulin-dependent diabetes mellitus)	25000,25002,25010,25012,25020,25022,25030,25032,25040,25042,25050,25052,25060,25062,25070,25072,25080,25082,25090,25092							n_2443=1[2976] 	n_2976_						1223 (type 2 diabetes)			0	1
HyperLip		08-11-2016	1					Trait	endocrine		Hyperlipidemia					E78(Disorders of lipoprotein metabolism and other lipidaemias)	272(272 Disorders of lipoid metabolism)										n_6153_=1,n_6177_=1				1473 (high cholesterol)			0	1
Dcm		05-01-2019					O903=peripartum cardiomyopathy	Trait	heart disease		Dilated Cardiomyopathy					I420 (Dilated Cardiomyopathy)	4254 (Dilated Cardiomyopathy likely not available)																	0	1
Hcm		08-11-2016	1					Trait	heart disease		Hypertrophic cardiomyopathy					I421(Obstructive hypertrophic cardiomyopathy),I422(Other hypertrophic cardiomyopathy)	4251 (Hypertrophic obstructive cardiomyopathy)														1588 (hypertrophic cardiomyopathy)			0	1
Hf		08-11-2016	1					Trait	heart disease		Heart failure					I50(Heart failure),I110(Hypertensive heart disease with heart failure),I130(Hypertensive heart and renal disease with [congestive] heart failure),I132(Hypertensive heart and renal disease with both [congestive] heart failure and renal failure),Z941 (heart transplant status), T862 (T86.2 Heart transplant failure and rejection)	428(Heart failure)	K02 (heart transplant)													1076 (heart failure/pulmonary odema)		1098 (heart transplant)	0	1
HfCmp		08-11-2016	1					Trait	heart disease		Heart failure (including cardiomyopathy)	Hf,Cmp																						0	1
Mi		08-11-2016	1			Category 44 should be added. 		Trait	heart disease		Myocardial infarction 					I21(Acute myocardial infarction),I22(Subsequent myocardial infarction),I23(Certain current complications following acute myocardial infarction),I252(Old myocardial infarction)	410(Acute myocardial infarction),412(Old myocardial infarction)							N_6150=1[3894]	n_3894_						1075 (heart attack/myocardial infarction)			0	1
Pci		08-11-2016						Operation	cardiovascular disease		Percutaneous Coronary Intervention							K49 (Transluminal balloon angioplasty of coronary artery), K50 (Other therapeutic transluminal operations on coronary artery), K75 (Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery)															1070 (coronary angioplasty +/- stent)	0	1
Cabg		08-11-2016						Operation	cardiovascular disease		Coronary Artery Bypass Graft					Z951(Presence of cardiac and vascular implants and grafts)		K40,K41,K42,K43,K44,K45,K46															1095 (cabg), 1523 (triple heart bypass)	0	1
Ht		08-11-2016	1					Trait	cardiovascular disease		Hypertension	HtE				I11(Hypertensive heart disease),I12(Hypertensive renal disease),I13( Hypertensive heart and renal disease),I15(Secondary hypertension),O10(Pre-existing hypertension complicating pregnancy, childbirth and the puerperium)	402,403(Hypertensive renal disease),404,405							6150_=4[2966]	n_2966_		n_6153_=2,n_6177_=2				1065 (hypertension)			0	1
HtRx		08-11-2016	1					Trait	cardiovascular disease		Hypertension (incl. touchscreen medication)	RxHt,Ht																						0	1
Ath		08-11-2016	1				there is no clear consensus on definition in literature for ATH, should discuss how to proceed. 	Trait	cardiovascular disease		Atherosclerosis	Cad, NCad				I70(Atherosclerosis)	440(Atherosclerosis)																	0	1
Cad		08-11-2016	1		YE		http://www.hcpro.com/HIM-284603-8160/What-to-expect-when-coding-CAD-MI-with-ICD10CM.html ; https://www.cms.gov/Medicare/Demonstration-Projects/DemoProjectsEvalRpts/downloads/MMA649_CAD_Appendices.pdf	Trait	cardiovascular disease		Coronary Artery Disease	Mi,Cabg, Pci				I24(I24 Other acute ischaemic heart diseases), I25(I25 Chronic ischaemic heart disease), Z955(Z95.5 Presence of coronary angioplasty implant and graft)	414(Other forms of chronic ischaemic heart disease)	K75							n_3894_									0	1
Pad		08-11-2016	1		YE			Trait	cardiovascular disease		Peripheral artery disease in extremities (incl. aneurysms)	PadInt				I739(Peripheral vascular disease, unspecified)	4439														1087 (leg claudication/ intermittent claudication), 1067 (peripheral vascular disease)			0	1
NCad		08-11-2016	1					Trait	cardiovascular disease		Non-cardiac arterial disease (incl. aneurysms)	CvaInfTia,NCadInt,Pad				I670(Dissection of cerebral arteries, nonruptured),I671(Cerebral aneurysm, nonruptured),I71(Aortic aneurysm and dissection),I72(Other aneurysm)	4373, 441, 442														1492 (aortic aneurysm), 1425 (cerebral aneurysm), 1591 (aortic aneurysm rupture)			0	1
PadInt		08-11-2016						Operation	cardiovascular disease		Intervention/surgery for peripheral artery disease in extremities							L37,L381,L383,L384,L391,L392,L395,L48,L49,L50,L51,L52,L53,L541,L542,L544,L56,L57,L58,L59,L60,L62,L631,L632,L635,L638,L639,L653						n_5529_=1,n_5540_=1									1102 (fem-pop bypass/leg artery bypass), 1103 (leg artery aneurysm repair), 1108 (leg artery angioplasty +/- stent)	0	1
NCadInt		08-11-2016						Operation	cardiovascular disease		Intervention/surgery for non-cardiac arterial disease							L16,L18,L19,L20,L21,L22,L23,L25,L261,L262,L263,L265,L266,L268,L269,L27,L28,L29,L301,L303,L304,L311,L313,L314,L33,L34,L351,L353,L355,L41,L421,L424,L428,L429,L431,L432,L435,L45,L461,L464,L471,L474,L651,L652,L658,L659,L661,L662,L665,L667,L68,L701,L705,L711,L712,L715,L716,L717,O01,O02,O03															1071 (other arterial surgery/revascularisation procedures), 1104 (aortic aneurysm/repair or stent), 1105 (carotid artery surgery/endarterectomy), 1106 (cerebral artery aneurysm surgery or clipping), 1107 (non-coronary artery angioplasty +/- stent), 1109 (carotid artery angioplasty +/- stent), 1110 (renal artery angioplasty +/- stent), 1555 (femoral/popliteal/iliac aneurysm repair)	0	1
AlcLiv		04-07-2017	1					Trait	gastrointestinal/liver		Alcoholic Liver Disease					K70 (alcoholic liver disease) 	5711 (Acute alcoholic hepatitis), 5712 (alcoholic cirrhosis of liver), 5713 (alcohol liver damage, unspecified), 5710 (alcoholic fatty liver)														1604			0	1
LivD		07-07-2017	1			MAS: added viral hepatitis		Trait	gastrointestinal/liver		Liver Disease	AlcLiv				K70, K71, K72, K73, K74, K75, K76, K77, B15, B16, B17, B18, B19	57, O70	J01, J02, J03, J04, J05, J06, J07, X43													1136, 1155, 1158, 1604		1454	0	1
ProsHyp		04-07-2017	1			used https://www.england.nhs.uk/wp-content/uploads/2013/.../7sdm-map-icd10-codes.xls 		Trait	renal/urology		Prostaat hyperplasie					N40 (Hyperplasia of prostate)	600 (Hyperplasia of prostate)	M651, M652, M653, M654, M655													1516 (bph / benign prostatic hypertrophy), 1396 (enlarged prostate)			0	1
DmEye		04-07-2017			MAS			Trait	eye		Diabetes-related eye disease					H36.0(diabetic retinopahty), H280(diabetic cataract)	2504(diabetes with ophtalmic manifestations)							n_5890_=1,n_5890_ =2, n_5890_=3	n_5901_						1276(diabetic eye disease)			0	1
Md		04-07-2017			MAS			Trait	eye		Macular degeneration						3625(Degeneration of macula and posterior pole)							n_5912_=1,n_5912_ =2, n_5912_=3	n_5923_						1528(macular degeneration)			0	1
Mps		04-07-2017			MAS			Trait	gynaecology/breast		Menopause					N950,N951,N952,N958,N959	6271(postmenopauzal bleeding),6272(menopausal or female climacteric states),6273(postmenopausal atrophic vaginitis),6278							n_3581_≥0 	n_3581_						1665(Menopause)			0	1
