coding	meaning	node_id	parent_id	selectable
A00	A00 Cholera	2860	230	N
A000	A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae	2870	2860	Y
A001	A00.1 Cholera due to Vibrio cholerae 01, biovar el tor	2880	2860	Y
A009	A00.9 Cholera, unspecified	2890	2860	Y
A01	A01 Typhoid and paratyphoid fevers	2900	230	N
A010	A01.0 Typhoid fever	2910	2900	Y
A011	A01.1 Paratyphoid fever A	2920	2900	Y
A012	A01.2 Paratyphoid fever B	2930	2900	Y
A013	A01.3 Paratyphoid fever C	2940	2900	Y
A014	A01.4 Paratyphoid fever, unspecified	2950	2900	Y
A02	A02 Other Salmonella infections	2960	230	N
A020	A02.0 Salmonella gastro-enteritis	2970	2960	Y
A021	A02.1 Salmonella septicaemia	2980	2960	Y
A022	A02.2 Localised Salmonella infections	2990	2960	Y
A028	A02.8 Other specified Salmonella infections	3000	2960	Y
A029	A02.9 Salmonella infection, unspecified	3010	2960	Y
A03	A03 Shigellosis	3020	230	N
A030	A03.0 Shigellosis due to Shigella dysenteriae	3030	3020	Y
A031	A03.1 Shigellosis due to Shigella flexneri	3040	3020	Y
A032	A03.2 Shigellosis due to Shigella boydii	3050	3020	Y
A033	A03.3 Shigellosis due to Shigella sonnei	3060	3020	Y
A038	A03.8 Other shigellosis	3070	3020	Y
A039	A03.9 Shigellosis, unspecified	3080	3020	Y
A04	A04 Other bacterial intestinal infections	3090	230	N
A040	A04.0 Enteropathogenic Escherichia coli infection	3100	3090	Y
A041	A04.1 Enterotoxigenic Escherichia coli infection	3110	3090	Y
A042	A04.2 Enteroinvasive Escherichia coli infection	3120	3090	Y
A043	A04.3 Enterohaemorrhagic Escherichia coli infection	3130	3090	Y
A044	A04.4 Other intestinal Escherichia coli infections	3140	3090	Y
A045	A04.5 Campylobacter enteritis	3150	3090	Y
A046	A04.6 Enteritis due to Yersinia enterocolitica	3160	3090	Y
A047	A04.7 Enterocolitis due to Clostridium difficile	3170	3090	Y
A048	A04.8 Other specified bacterial intestinal infections	3180	3090	Y
A049	A04.9 Bacterial intestinal infection, unspecified	3190	3090	Y
A05	A05 Other bacterial foodborne intoxications	3200	230	N
A050	A05.0 Foodborne staphylococcal intoxication	3210	3200	Y
A051	A05.1 Botulism	3220	3200	Y
A052	A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication	3230	3200	Y
A053	A05.3 Foodborne Vibrio parahaemolyticus intoxication	3240	3200	Y
A054	A05.4 Foodborne Bacillus cereus intoxication	3250	3200	Y
A058	A05.8 Other specified bacterial foodborne intoxications	3260	3200	Y
A059	A05.9 Bacterial foodborne intoxication, unspecified	3270	3200	Y
A06	A06 Amoebiasis	3280	230	N
A060	A06.0 Acute amoebic dysentery	3290	3280	Y
A061	A06.1 Chronic intestinal amoebiasis	3300	3280	Y
A062	A06.2 Amoebic nondysenteric colitis	3310	3280	Y
A063	A06.3 Amoeboma of intestine	3320	3280	Y
A064	A06.4 Amoebic liver abscess	3330	3280	Y
A065	A06.5 Amoebic lung abscess	3340	3280	Y
A066	A06.6 Amoebic brain abscess	3350	3280	Y
A067	A06.7 Cutaneous amoebiasis	3360	3280	Y
A068	A06.8 Amoebic infection of other sites	3370	3280	Y
A069	A06.9 Amoebiasis, unspecified	3380	3280	Y
A07	A07 Other protozoal intestinal diseases	3390	230	N
A070	A07.0 Balantidiasis	3400	3390	Y
A071	A07.1 Giardiasis [lambliasis]	3410	3390	Y
A072	A07.2 Cryptosporidiosis	3420	3390	Y
A073	A07.3 Isosporiasis	3430	3390	Y
A078	A07.8 Other specified protozoal intestinal diseases	3440	3390	Y
A079	A07.9 Protozoal intestinal disease, unspecified	3450	3390	Y
A08	A08 Viral and other specified intestinal infections	3460	230	N
A080	A08.0 Rotaviral enteritis	3470	3460	Y
A081	A08.1 Acute gastro-enteropathy due to Norwalk agent	3480	3460	Y
A082	A08.2 Adenoviral enteritis	3490	3460	Y
A083	A08.3 Other viral enteritis	3500	3460	Y
A084	A08.4 Viral intestinal infection, unspecified	3510	3460	Y
A085	A08.5 Other specified intestinal infections	3520	3460	Y
A09	A09 Diarrhoea and gastro-enteritis of presumed infectious origin	3530	230	N
A090	A09.0 Other and unspecified gastroenteritis and colitis of infectious origin	3540	3530	Y
A099	A09.9 Gastroenteritis and colitis of unspecified origin	3550	3530	Y
A15	A15 Respiratory tuberculosis, bacteriologically and histologically confirmed	3560	240	N
A150	A15.0 Tuberculosis of lung, confirmed by sputum microscopy with or without culture	3570	3560	Y
A151	A15.1 Tuberculosis of lung, confirmed by culture only	3580	3560	Y
A152	A15.2 Tuberculosis of lung, confirmed histologically	3590	3560	Y
A153	A15.3 Tuberculosis of lung, confirmed by unspecified means	3600	3560	Y
A154	A15.4 Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically	3610	3560	Y
A155	A15.5 Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically	3620	3560	Y
A156	A15.6 Tuberculous pleurisy, confirmed bacteriologically and histologically	3630	3560	Y
A157	A15.7 Primary respiratory tuberculosis, confirmed bacteriologically and histologically	3640	3560	Y
A158	A15.8 Other respiratory tuberculosis, confirmed bacteriologically and histologically	3650	3560	Y
A159	A15.9 Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically	3660	3560	Y
A16	A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically	3670	240	N
A160	A16.0 Tuberculosis of lung, bacteriologically and histologically negative	3680	3670	Y
A161	A16.1 Tuberculosis of lung, bacteriological and histological examination not done	3690	3670	Y
A162	A16.2 Tuberculosis of lung, without mention of bacteriological or histological confirmation	3700	3670	Y
A163	A16.3 Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	3710	3670	Y
A164	A16.4 Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	3720	3670	Y
A165	A16.5 Tuberculous pleurisy, without mention of bacteriological or histological confirmation	3730	3670	Y
A167	A16.7 Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	3740	3670	Y
A168	A16.8 Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	3750	3670	Y
A169	A16.9 Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	3760	3670	Y
A17	A17 Tuberculosis of nervous system	3770	240	N
A170	A17.0 Tuberculous meningitis	3780	3770	Y
A171	A17.1 Meningeal tuberculoma	3790	3770	Y
A178	A17.8 Other tuberculosis of nervous system	3800	3770	Y
A179	A17.9 Tuberculosis of nervous system, unspecified	3810	3770	Y
A18	A18 Tuberculosis of other organs	3820	240	N
A180	A18.0 Tuberculosis of bones and joints	3830	3820	Y
A181	A18.1 Tuberculosis of genito-urinary system	3840	3820	Y
A182	A18.2 Tuberculous peripheral lymphadenopathy	3850	3820	Y
A183	A18.3 Tuberculosis of intestines, peritoneum and mesenteric glands	3860	3820	Y
