TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
HfInCad_TEST								Composite	cardiovascular disease	..	Hf due to ischemia vs no Hf after ischemia	Cmp	Cad		Hf																
Nicm_TEST								Composite	cardiovascular disease		non-ischemic cardiomyopathy	Cad		Cmp,HxHrt	Dcm	I501															
HxCaBo		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Bowel cancer (incl. digestive organs)					Z800 (Z80.0 Family history of malignant neoplasm of digestive organs)	V160 (V160 Family history of malignant neoplasm in gastrointestinal tract)								20110=4 (Bowel cancer),20107=4, 20111=4					0	1
HxCaBr		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Breast cancer					Z803 (Z80.3 Family history of malignant neoplasm of breast)	V163 (V163 Family history of malignant neoplasm in breast)								20110=5 (Breast cancer),20107=5, 20111=5					0	1
HxCa		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Cancer, all				HxCaBo,HxCaBr,HxCaL,HxCaP	Z80	V16													0	1
HxCaL		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Lung cancer					Z801 (Z80.1 Family history of malignant neoplasm of trachea, bronchus and lung)	V161 (V161 Family history of malignant neoplasm in trachea, bronchus and lung)								20110=3 (Lung cancer),20107=3, 20111=3					0	1
HxCaP		08-11-2016						Family History 	cancer	Family history: Cancer, all	Family history: Prostate cancer														20110=13 (Prostate cancer),20107=13, 20111=13					0	1
HxCva		08-11-2016						Family History 	cerebrovascular disease	Cerebrovascular accident (stroke)	Family history: Stroke					Z823 (Family history of stroke)	V171 (Family history of stroke)								20110=2 (Stroke),20107=2, 20111=2					0	1
HxDm		08-11-2016						Family History 	diabetes		Family history: Diabetes					Z833 (Family history of diabetes mellitus)	V180 (Family history of diabetes mellitus)								20110=9 (Diabetes), 20107=9, 20111=9					0	1
HxHrt		08-11-2016						Family History 	heart disease		Family history: Heart disease														20110=1 (Heart disease), 20107=1, 20111=1					0	1
HxHt		08-11-2016						Family History 	cardiovascular disease		Family history: High blood pressure														20110=8 (High blood pressure), 20107=8, 20111=8					0	1
HxAd		08-11-2016						Family History 	neurology		Family history: Alzheimer's disease/dementia														20110=10 (Alzheimer's disease),20107=10, 20111=10					0	1
HxDepr		08-11-2016						Family History 	psychiatry		Family history: Severe depression														20110=12 (Severe depression),20107=12, 20111=12					0	1
HxPd		08-11-2016						Family History 	neurology		Family history: Parkinson's disease														20110=11 (Parkinson's disease),20107=11, 20111=11					0	1
HxCb		08-11-2016						Family History 	respiratory/ent		Family history: COPD / asthma					Z825 (Family history of asthma and other chronic lower respiratory diseases)	V175 (Family history of asthma), V176 (Family history of other chronic respiratory conditions)								20110=6 (Chronic bronchitis/emphysema),20107=6, 20111=2					0	1
